,Discriminant,Class number,Time execution,Calculation times,Subexponentiality
150,-37988,72,0:00:00.596505,100,1
151,-38040,64,0:00:02.384495,100,1
152,-38216,160,0:00:01.522975,100,1
153,-38296,54,0:00:01.238645,100,1
154,-38692,48,0:00:01.123087,100,1
155,-39236,128,0:00:01.726526,100,1
156,-39524,112,0:00:02.282725,100,1
157,-39736,36,0:00:01.024116,100,1
158,-40004,160,0:00:01.964182,100,1
159,-40296,64,0:00:00.467601,100,1
160,-40324,48,0:00:00.563260,100,1
161,-40692,54,0:00:00.409310,100,1
162,-41464,64,0:00:01.434303,100,1
163,-41656,80,0:00:02.029402,100,1
164,-42196,64,0:00:01.478721,100,1
165,-42420,64,0:00:00.618520,100,1
166,-42872,64,0:00:00.901233,100,1
167,-43160,96,0:00:00.839101,100,1
168,-43192,36,0:00:01.925091,100,1
169,-43844,128,0:00:01.533967,100,1
170,-44004,108,0:00:00.379726,100,1
171,-45304,96,0:00:02.030638,100,1
172,-46136,176,0:00:01.803364,100,1
173,-46852,32,0:00:00.403272,100,1
174,-47288,80,0:00:00.630567,100,1
175,-47864,128,0:00:00.977615,100,1
176,-48008,80,0:00:00.709236,100,1
177,-48052,36,0:00:01.197948,100,1
178,-48472,36,0:00:00.949086,100,1
179,-48824,192,0:00:02.840682,100,1
180,-49128,72,0:00:00.721879,100,1
181,-49576,54,0:00:00.545610,100,1
182,-49812,72,0:00:01.361717,100,1
183,-49924,72,0:00:01.942728,100,1
184,-50020,64,0:00:01.139459,100,1
185,-50552,128,0:00:01.657040,100,1
186,-50840,128,0:00:02.146546,100,1
187,-51348,72,0:00:01.392605,100,1
188,-51748,32,0:00:01.062617,100,1
189,-51976,48,0:00:00.594900,100,1
190,-52088,64,0:00:00.942046,100,1
191,-52292,64,0:00:00.992475,100,1
192,-53268,96,0:00:00.415145,100,1
193,-53368,48,0:00:01.974927,100,1
194,-53592,64,0:00:01.383347,100,1
195,-54708,64,0:00:00.527771,100,1
196,-54712,32,0:00:01.318952,100,1
197,-55268,112,0:00:02.506931,100,1
198,-55316,162,0:00:02.036007,100,1
199,-55624,64,0:00:00.608066,100,1
200,-56132,108,0:00:01.644775,100,1
201,-56248,48,0:00:02.111500,100,1
202,-56504,144,0:00:03.039006,100,1
203,-56648,80,0:00:00.660964,100,1
204,-57336,108,0:00:04.079502,100,1
205,-57784,80,0:00:01.714762,100,1
206,-57848,96,0:00:02.483667,100,1
